"Mouse","Stage","Behavior","Time","Amplitude","SEM","Condition"
2,"Baseline","Nest",1300,0.05,0.05,"LD"
2,"Baseline","Nest",1310,0.25,0.15,"LD"
2,"Baseline","Nest",1320,0.4,0.27,"LD"
2,"Baseline","Nest",1330,0.72,0.57,"LD"
2,"Baseline","Nest",1340,0.85,0.31,"LD"
2,"Baseline","Nest",1350,1.02,0.44,"LD"
2,"Baseline","Nest",1360,1.02,0.54,"LD"
2,"Baseline","Nest",1370,0.35,0.21,"LD"
2,"Baseline","Nest",1380,0.2,0.12,"LD"
2,"Baseline","Nest",1390,0.87,0.38,"LD"
2,"Baseline","Nest",1400,0.53,0.21,"LD"
2,"Baseline","Nest",1410,1.07,0.31,"LD"
2,"Baseline","Nest",1420,0.3,0.3,"LD"
2,"Baseline","Nest",1430,0.17,0.14,"LD"
2,"Shocks","Nest",0,2.08,0.35,"LD"
2,"Shocks","Nest",10,1.62,0.6,"LD"
2,"Shocks","Nest",20,1.12,0.48,"LD"
2,"Shocks","Nest",30,0.42,0.36,"LD"
2,"Shocks","Nest",40,0.17,0.17,"LD"
2,"Shocks","Nest",50,0,0,"LD"
2,"Shocks","Nest",60,0,0,"LD"
2,"Shocks","Nest",70,0,0,"LD"
2,"Shocks","Nest",80,0,0,"LD"
2,"Shocks","Nest",90,0,0,"LD"
2,"Shocks","Nest",100,0,0,"LD"
2,"Shocks","Nest",110,0.03,0.03,"LD"
2,"Shocks","Nest",120,0,0,"LD"
2,"Shocks","Nest",130,0,0,"LD"
2,"Shocks","Nest",140,0,0,"LD"
2,"Shocks","Nest",150,0.03,0.03,"LD"
2,"Shocks","Nest",160,0,0,"LD"
2,"Shocks","Nest",170,0.85,0.5,"LD"
2,"Shocks","Nest",180,0.28,0.28,"LD"
2,"Shocks","Nest",190,0,0,"LD"
2,"Shocks","Nest",200,0,0,"LD"
2,"Shocks","Nest",210,0.05,0.05,"LD"
2,"Shocks","Nest",220,0.23,0.23,"LD"
2,"Shocks","Nest",230,0,0,"LD"
2,"Shocks","Nest",240,0.03,0.03,"LD"
2,"Shocks","Nest",250,0.33,0.33,"LD"
2,"Shocks","Nest",260,0.42,0.42,"LD"
2,"Shocks","Nest",270,0.03,0.03,"LD"
2,"Shocks","Nest",280,0.68,0.68,"LD"
2,"Shocks","Nest",290,0.82,0.82,"LD"
2,"Shocks","Nest",300,0.9,0.9,"LD"
2,"Shocks","Nest",310,0.78,0.78,"LD"
2,"Shocks","Nest",320,0.68,0.68,"LD"
2,"Shocks","Nest",330,0.75,0.68,"LD"
2,"Shocks","Nest",340,0.85,0.85,"LD"
2,"Shocks","Nest",350,0.62,0.62,"LD"
2,"Shocks","Nest",360,0.87,0.87,"LD"
2,"Shocks","Nest",370,0.85,0.85,"LD"
2,"Shocks","Nest",380,1.12,0.43,"LD"
2,"Shocks","Nest",390,0.77,0.45,"LD"
2,"Shocks","Nest",400,0.47,0.29,"LD"
2,"Shocks","Nest",410,0.18,0.09,"LD"
2,"Shocks","Nest",420,1.12,0.58,"LD"
2,"Shocks","Nest",430,0.37,0.37,"LD"
2,"Shocks","Nest",440,0,0,"LD"
2,"Shocks","Nest",450,0,0,"LD"
2,"Shocks","Nest",460,0,0,"LD"
2,"Shocks","Nest",470,0,0,"LD"
2,"Shocks","Nest",480,0,0,"LD"
2,"Shocks","Nest",490,0,0,"LD"
2,"Shocks","Nest",500,0,0,"LD"
2,"Shocks","Nest",510,0,0,"LD"
2,"Shocks","Nest",520,0,0,"LD"
2,"Shocks","Nest",530,0.1,0.1,"LD"
2,"Shocks","Nest",540,0.08,0.05,"LD"
2,"Shocks","Nest",550,0.6,0.6,"LD"
2,"Shocks","Nest",560,0.3,0.27,"LD"
2,"Shocks","Nest",570,0.4,0.4,"LD"
2,"Shocks","Nest",580,0.1,0.1,"LD"
2,"Shocks","Nest",590,0.17,0.17,"LD"
2,"Shocks","Nest",600,0.42,0.42,"LD"
2,"Shocks","Nest",610,0.35,0.26,"LD"
2,"Shocks","Nest",620,0.42,0.42,"LD"
2,"Shocks","Nest",630,0,0,"LD"
2,"Shocks","Nest",640,0,0,"LD"
2,"Shocks","Nest",650,0.17,0.17,"LD"
2,"Shocks","Nest",660,0.68,0.68,"LD"
2,"Shocks","Nest",670,0.25,0.15,"LD"
2,"Shocks","Nest",680,0.2,0.17,"LD"
2,"Shocks","Nest",690,0.28,0.21,"LD"
2,"Shocks","Nest",700,0.3,0.17,"LD"
2,"Shocks","Nest",710,0.4,0.19,"LD"
2,"Shocks","Nest",720,1.2,0.04,"LD"
2,"Shocks","Nest",730,2.07,0.1,"LD"
2,"Shocks","Nest",740,1.6,0.09,"LD"
2,"Shocks","Nest",750,2.08,0.33,"LD"
2,"Shocks","Nest",760,1.98,0.43,"LD"
2,"Shocks","Nest",770,2.05,0.22,"LD"
2,"Shocks","Nest",780,1.83,0.29,"LD"
2,"Shocks","Nest",790,1.73,0.13,"LD"
2,"Shocks","Nest",800,1.7,0.23,"LD"
2,"Shocks","Nest",810,1.93,0.49,"LD"
2,"Shocks","Nest",820,2.08,0.09,"LD"
2,"Shocks","Nest",830,1.48,0.57,"LD"
2,"Shocks","Nest",840,1.5,0.35,"LD"
2,"Shocks","Nest",850,1.77,0.34,"LD"
2,"Shocks","Nest",860,1.57,0.33,"LD"
2,"Shocks","Nest",870,1.9,0.49,"LD"
2,"Shocks","Nest",880,1.12,0.66,"LD"
2,"Shocks","Nest",890,1.35,0.52,"LD"
2,"Shocks","Nest",900,0.87,0.74,"LD"
2,"Shocks","Nest",910,0.9,0.52,"LD"
2,"Shocks","Nest",920,0.62,0.43,"LD"
2,"Shocks","Nest",930,1.02,0.62,"LD"
2,"Shocks","Nest",940,1.4,0.47,"LD"
2,"Shocks","Nest",950,1.27,0.31,"LD"
2,"Shocks","Nest",960,1.6,0.24,"LD"
